Zeit,Waage 1,Waage 2
2025-07-30 21:55,T: 28.50 °C | H: 57.00 % | Gewicht: 37116.2 g,T: 27.00 °C | H: 64.70 % | Gewicht: 41280.7 g
2025-07-30 22:07,T: 28.40 °C | H: 55.90 % | Gewicht: 37303.7 g,T: 26.60 °C | H: 65.00 % | Gewicht: 41270.9 g
2025-07-30 23:07,T: 27.60 °C | H: 57.20 % | Gewicht: 37300.4 g,T: 24.40 °C | H: 71.20 % | Gewicht: 41247.1 g
2025-07-31 00:07,T: 27.00 °C | H: 57.40 % | Gewicht: 37291.2 g,T: 23.40 °C | H: 74.50 % | Gewicht: 41226.5 g
2025-07-31 01:07,T: 26.80 °C | H: 57.30 % | Gewicht: 37280.9 g,T: 22.50 °C | H: 75.70 % | Gewicht: 41237.8 g
2025-07-31 02:07,T: 26.60 °C | H: 57.40 % | Gewicht: 37270.8 g,T: 21.70 °C | H: 81.40 % | Gewicht: 41229.1 g
2025-07-31 03:07,T: 26.30 °C | H: 58.00 % | Gewicht: 37246.7 g,T: 21.50 °C | H: 81.30 % | Gewicht: 41194.8 g
2025-07-31 04:07,T: 26.10 °C | H: 59.20 % | Gewicht: 37254.2 g,T: 21.00 °C | H: 83.70 % | Gewicht: 41202.2 g
2025-07-31 05:07,T: 26.10 °C | H: 58.90 % | Gewicht: 37248.2 g,T: 20.90 °C | H: 84.20 % | Gewicht: 41186.0 g
2025-07-31 06:07,T: 26.10 °C | H: 59.40 % | Gewicht: 37236.1 g,T: 20.70 °C | H: 82.40 % | Gewicht: 41156.0 g
2025-07-31 07:07,T: 26.40 °C | H: 60.20 % | Gewicht: 37250.3 g,T: 21.20 °C | H: 83.90 % | Gewicht: 41132.0 g
2025-07-31 08:07,T: 27.10 °C | H: 62.00 % | Gewicht: 37250.2 g,T: 21.90 °C | H: 81.50 % | Gewicht: 41093.8 g
2025-07-31 09:07,T: 27.60 °C | H: 62.70 % | Gewicht: 37244.8 g,T: 22.10 °C | H: 85.20 % | Gewicht: 41059.5 g
2025-07-31 10:07,T: 28.30 °C | H: 63.30 % | Gewicht: 37245.1 g,T: 22.90 °C | H: 82.20 % | Gewicht: 40947.7 g
2025-07-31 11:07,T: 29.70 °C | H: 64.30 % | Gewicht: 37132.9 g,T: 24.40 °C | H: 80.90 % | Gewicht: 40832.3 g
2025-07-31 12:07,T: 30.90 °C | H: 64.40 % | Gewicht: 37123.4 g,T: 25.30 °C | H: 80.60 % | Gewicht: 40795.5 g
2025-07-31 13:07,T: 31.40 °C | H: 64.50 % | Gewicht: 37135.2 g,T: 25.90 °C | H: 75.10 % | Gewicht: 40807.6 g
2025-07-31 14:07,T: 31.50 °C | H: 65.60 % | Gewicht: 37157.6 g,T: 26.10 °C | H: 73.30 % | Gewicht: 40876.2 g
2025-07-31 15:07,T: 31.80 °C | H: 65.40 % | Gewicht: 37155.8 g,T: 26.80 °C | H: 75.30 % | Gewicht: 40849.4 g
2025-07-31 16:07,T: 32.50 °C | H: 65.00 % | Gewicht: 37177.4 g,T: 28.10 °C | H: 80.10 % | Gewicht: 40809.6 g
2025-07-31 17:07,T: 32.90 °C | H: 65.60 % | Gewicht: 37147.9 g,T: 29.80 °C | H: 70.90 % | Gewicht: 40822.7 g
2025-07-31 18:07,T: 33.20 °C | H: 65.00 % | Gewicht: 37143.2 g,T: 28.50 °C | H: 68.00 % | Gewicht: 40781.4 g
2025-07-31 19:08,T: 33.10 °C | H: 65.10 % | Gewicht: 37133.3 g,T: 30.50 °C | H: 68.40 % | Gewicht: 40814.7 g
2025-07-31 20:07,T: 32.60 °C | H: 66.40 % | Gewicht: 37100.7 g,T: 31.30 °C | H: 63.80 % | Gewicht: 40746.0 g
2025-07-31 21:07,T: 31.80 °C | H: 63.90 % | Gewicht: 37048.0 g,T: 30.00 °C | H: 58.30 % | Gewicht: 40704.8 g
2025-07-31 22:07,T: 31.10 °C | H: 64.80 % | Gewicht: 37007.6 g,T: 29.20 °C | H: 73.10 % | Gewicht: 40681.9 g
2025-07-31 23:07,T: 30.40 °C | H: 65.00 % | Gewicht: 36970.3 g,T: 27.40 °C | H: 68.60 % | Gewicht: 40691.5 g
2025-08-01 00:07,T: 29.60 °C | H: 64.30 % | Gewicht: 36947.6 g,T: 26.90 °C | H: 75.60 % | Gewicht: 40669.1 g
2025-08-01 01:07,T: 29.30 °C | H: 66.50 % | Gewicht: 36916.5 g,T: 25.80 °C | H: 76.00 % | Gewicht: 40660.5 g
2025-08-01 02:07,T: 28.80 °C | H: 65.90 % | Gewicht: 36919.1 g,T: 24.40 °C | H: 78.20 % | Gewicht: 40662.1 g
2025-08-01 03:07,T: 28.80 °C | H: 67.90 % | Gewicht: 36910.0 g,T: 24.40 °C | H: 74.30 % | Gewicht: 40675.7 g
2025-08-01 04:07,T: 28.80 °C | H: 65.70 % | Gewicht: 36902.0 g,T: 25.60 °C | H: 78.70 % | Gewicht: 40663.5 g
2025-08-01 05:07,T: 29.00 °C | H: 67.20 % | Gewicht: 36878.3 g,T: 25.00 °C | H: 76.10 % | Gewicht: 40644.1 g
2025-08-01 06:07,T: 29.00 °C | H: 66.80 % | Gewicht: 36856.3 g,T: 24.60 °C | H: 77.20 % | Gewicht: 40623.6 g
2025-08-01 07:07,T: 29.30 °C | H: 63.10 % | Gewicht: 36867.9 g,T: 24.20 °C | H: 74.90 % | Gewicht: 40611.7 g
2025-08-01 08:07,T: 30.10 °C | H: 63.70 % | Gewicht: 36896.7 g,T: 24.40 °C | H: 72.00 % | Gewicht: 40575.1 g
2025-08-01 09:07,T: 30.10 °C | H: 62.70 % | Gewicht: 36836.1 g,T: 24.40 °C | H: 77.00 % | Gewicht: 40535.4 g
2025-08-01 10:07,T: 29.80 °C | H: 61.50 % | Gewicht: 36840.4 g,T: 24.40 °C | H: 79.40 % | Gewicht: 40524.8 g
2025-08-01 11:07,T: 29.50 °C | H: 61.90 % | Gewicht: 36850.8 g,T: 24.40 °C | H: 79.20 % | Gewicht: 40528.9 g
2025-08-01 12:07,T: 29.30 °C | H: 61.10 % | Gewicht: 36932.4 g,T: 24.30 °C | H: 82.10 % | Gewicht: 40524.2 g
2025-08-01 13:07,T: 30.00 °C | H: 64.50 % | Gewicht: 36842.7 g,T: 24.60 °C | H: 77.40 % | Gewicht: 40561.6 g
2025-08-01 14:07,T: 31.80 °C | H: 69.50 % | Gewicht: 36703.5 g,T: 27.00 °C | H: 82.20 % | Gewicht: 40366.3 g
2025-08-01 15:07,T: 32.40 °C | H: 70.50 % | Gewicht: 36468.3 g,T: 28.30 °C | H: 75.20 % | Gewicht: 40249.0 g
2025-08-01 16:07,T: 32.40 °C | H: 66.90 % | Gewicht: 36473.9 g,T: 28.70 °C | H: 71.20 % | Gewicht: 40293.6 g
2025-08-01 17:07,T: 31.80 °C | H: 66.60 % | Gewicht: 36484.2 g,T: 29.20 °C | H: 71.80 % | Gewicht: 40331.2 g
2025-08-01 18:07,T: 31.90 °C | H: 66.40 % | Gewicht: 36414.7 g,T: 28.70 °C | H: 69.50 % | Gewicht: 40315.3 g
2025-08-01 19:07,T: 31.00 °C | H: 64.80 % | Gewicht: 36316.6 g,T: 28.10 °C | H: 69.60 % | Gewicht: 40316.4 g
2025-08-01 20:07,T: 30.70 °C | H: 63.70 % | Gewicht: 36233.4 g,T: 28.90 °C | H: 63.50 % | Gewicht: 40304.7 g
2025-08-01 21:07,T: 29.80 °C | H: 62.60 % | Gewicht: 36195.3 g,T: 25.00 °C | H: 68.20 % | Gewicht: 40329.5 g
2025-08-01 22:07,T: 29.30 °C | H: 63.80 % | Gewicht: 36137.3 g,T: 23.30 °C | H: 73.50 % | Gewicht: 40317.1 g
2025-08-01 23:07,T: 28.80 °C | H: 65.30 % | Gewicht: 36089.4 g,T: 24.80 °C | H: 75.50 % | Gewicht: 40336.7 g
2025-08-02 00:07,T: 28.40 °C | H: 62.90 % | Gewicht: 36062.1 g,T: 25.90 °C | H: 68.60 % | Gewicht: 40336.5 g
2025-08-02 01:07,T: 28.20 °C | H: 65.40 % | Gewicht: 36036.1 g,T: 26.10 °C | H: 75.30 % | Gewicht: 40337.2 g
2025-08-02 02:07,T: 28.20 °C | H: 65.80 % | Gewicht: 36024.2 g,T: 26.90 °C | H: 72.50 % | Gewicht: 40330.3 g
2025-08-02 03:07,T: 28.30 °C | H: 64.00 % | Gewicht: 36002.7 g,T: 24.20 °C | H: 79.50 % | Gewicht: 40327.2 g
2025-08-02 04:07,T: 28.10 °C | H: 63.20 % | Gewicht: 36004.5 g,T: 22.90 °C | H: 75.20 % | Gewicht: 40317.2 g
2025-08-02 05:07,T: 27.70 °C | H: 64.80 % | Gewicht: 36010.0 g,T: 21.70 °C | H: 75.20 % | Gewicht: 40315.3 g
2025-08-02 06:07,T: 27.80 °C | H: 65.30 % | Gewicht: 36023.3 g,T: 21.80 °C | H: 73.70 % | Gewicht: 40319.9 g
2025-08-02 07:07,T: 28.20 °C | H: 64.30 % | Gewicht: 36023.7 g,T: 21.80 °C | H: 76.60 % | Gewicht: 40325.2 g
2025-08-02 08:07,T: 28.10 °C | H: 61.10 % | Gewicht: 36033.3 g,T: 22.30 °C | H: 76.80 % | Gewicht: 40310.6 g
2025-08-02 09:07,T: 28.90 °C | H: 60.50 % | Gewicht: 36076.8 g,T: 22.50 °C | H: 82.10 % | Gewicht: 40317.8 g
2025-08-02 10:07,T: 28.50 °C | H: 62.50 % | Gewicht: 36100.9 g,T: 23.20 °C | H: 82.30 % | Gewicht: 40309.6 g
2025-08-02 11:07,T: 28.80 °C | H: 60.60 % | Gewicht: 36072.3 g,T: 23.20 °C | H: 77.30 % | Gewicht: 40270.4 g
2025-08-02 12:07,T: 28.60 °C | H: 61.90 % | Gewicht: 36101.5 g,T: 23.50 °C | H: 83.10 % | Gewicht: 40279.7 g
2025-08-02 13:07,T: 28.60 °C | H: 62.60 % | Gewicht: 36096.8 g,T: 23.40 °C | H: 80.20 % | Gewicht: 40279.0 g
2025-08-02 14:07,T: 28.50 °C | H: 62.70 % | Gewicht: 36077.9 g,T: 22.90 °C | H: 82.10 % | Gewicht: 40268.0 g
2025-08-02 15:07,T: 29.00 °C | H: 65.80 % | Gewicht: 36022.0 g,T: 24.40 °C | H: 85.90 % | Gewicht: 40182.7 g
2025-08-02 16:07,T: 29.80 °C | H: 67.30 % | Gewicht: 36063.4 g,T: 25.70 °C | H: 80.30 % | Gewicht: 40339.2 g
2025-08-02 17:07,T: 29.70 °C | H: 63.00 % | Gewicht: 35992.0 g,T: 25.10 °C | H: 84.50 % | Gewicht: 40302.1 g
2025-08-02 18:07,T: 29.50 °C | H: 62.60 % | Gewicht: 36042.6 g,T: 25.90 °C | H: 80.50 % | Gewicht: 40317.7 g
2025-08-02 19:07,T: 29.10 °C | H: 62.20 % | Gewicht: 36001.7 g,T: 26.00 °C | H: 78.50 % | Gewicht: 40338.4 g
2025-08-02 20:07,T: 29.10 °C | H: 62.30 % | Gewicht: 35996.3 g,T: 26.10 °C | H: 75.80 % | Gewicht: 40340.9 g
2025-08-02 21:07,T: 30.00 °C | H: 59.90 % | Gewicht: 35979.0 g,T: 26.40 °C | H: 70.00 % | Gewicht: 40329.4 g
2025-08-02 22:07,T: 29.50 °C | H: 62.40 % | Gewicht: 35980.5 g,T: 22.40 °C | H: 75.10 % | Gewicht: 40321.2 g
2025-08-02 23:07,T: 28.80 °C | H: 63.00 % | Gewicht: 36032.3 g,T: 22.50 °C | H: 77.20 % | Gewicht: 40327.6 g
2025-08-03 00:07,T: 28.40 °C | H: 62.90 % | Gewicht: 36052.4 g,T: 23.50 °C | H: 83.90 % | Gewicht: 40323.2 g
2025-08-03 01:07,T: 27.90 °C | H: 63.80 % | Gewicht: 36067.7 g,T: 23.50 °C | H: 78.30 % | Gewicht: 40318.5 g
2025-08-03 02:07,T: 27.90 °C | H: 64.30 % | Gewicht: 36054.7 g,T: 25.00 °C | H: 74.40 % | Gewicht: 40312.5 g
2025-08-03 03:07,T: 28.00 °C | H: 64.80 % | Gewicht: 36108.1 g,T: 22.40 °C | H: 82.70 % | Gewicht: 40306.5 g
2025-08-03 04:07,T: 27.70 °C | H: 64.80 % | Gewicht: 36133.1 g,T: 22.60 °C | H: 80.20 % | Gewicht: 40312.1 g
2025-08-03 05:07,T: 28.00 °C | H: 64.40 % | Gewicht: 36137.5 g,T: 22.60 °C | H: 81.50 % | Gewicht: 40304.1 g
2025-08-03 06:07,T: 27.70 °C | H: 64.40 % | Gewicht: 36160.7 g,T: 21.90 °C | H: 82.80 % | Gewicht: 40297.2 g
2025-08-03 07:07,T: 28.80 °C | H: 61.70 % | Gewicht: 36164.0 g,T: 21.90 °C | H: 83.30 % | Gewicht: 40279.1 g
2025-08-03 08:07,T: 28.20 °C | H: 63.40 % | Gewicht: 36172.9 g,T: 21.80 °C | H: 81.60 % | Gewicht: 40282.7 g
2025-08-03 09:07,T: 28.90 °C | H: 65.20 % | Gewicht: 36114.7 g,T: 23.00 °C | H: 85.10 % | Gewicht: 40214.7 g
2025-08-03 10:07,T: 30.00 °C | H: 64.70 % | Gewicht: 35980.1 g,T: 23.80 °C | H: 85.30 % | Gewicht: 39989.7 g
2025-08-03 11:07,T: 30.70 °C | H: 62.10 % | Gewicht: 35823.3 g,T: 25.70 °C | H: 83.60 % | Gewicht: 40013.9 g
2025-08-03 12:13,T: 29.90 °C | H: 61.50 % | Gewicht: 35771.0 g,T: 25.80 °C | H: 82.50 % | Gewicht: 39975.5 g
2025-08-03 13:07,T: 30.00 °C | H: 62.60 % | Gewicht: 35745.4 g,T: 26.30 °C | H: 78.60 % | Gewicht: 40011.6 g
2025-08-03 14:07,T: 30.00 °C | H: 63.40 % | Gewicht: 35657.5 g,T: 26.50 °C | H: 78.90 % | Gewicht: 40021.9 g
2025-08-03 15:07,T: 30.70 °C | H: 63.40 % | Gewicht: 35611.8 g,T: 26.20 °C | H: 76.00 % | Gewicht: 39867.9 g
2025-08-03 16:07,T: 30.60 °C | H: 63.20 % | Gewicht: 35620.0 g,T: 27.30 °C | H: 78.70 % | Gewicht: 39860.7 g
2025-08-03 17:07,T: 31.20 °C | H: 61.70 % | Gewicht: 35550.9 g,T: 27.60 °C | H: 73.80 % | Gewicht: 39852.9 g
2025-08-03 18:07,T: 30.20 °C | H: 61.50 % | Gewicht: 35517.9 g,T: 27.20 °C | H: 67.10 % | Gewicht: 39890.4 g
2025-08-03 19:07,T: 29.90 °C | H: 60.90 % | Gewicht: 35466.0 g,T: 28.30 °C | H: 68.90 % | Gewicht: 39883.7 g
2025-08-03 20:07,T: 29.80 °C | H: 64.00 % | Gewicht: 35529.1 g,T: 28.30 °C | H: 69.80 % | Gewicht: 39911.5 g
2025-08-03 21:07,T: 30.00 °C | H: 62.00 % | Gewicht: 35441.6 g,T: 26.50 °C | H: 67.40 % | Gewicht: 39889.7 g
2025-08-03 22:07,T: 29.70 °C | H: 63.40 % | Gewicht: 35382.2 g,T: 24.30 °C | H: 72.50 % | Gewicht: 39877.0 g
2025-08-03 23:07,T: 29.30 °C | H: 63.30 % | Gewicht: 35390.3 g,T: 23.00 °C | H: 74.40 % | Gewicht: 39883.0 g
2025-08-04 00:07,T: 28.50 °C | H: 60.90 % | Gewicht: 35383.6 g,T: 21.80 °C | H: 72.60 % | Gewicht: 39878.2 g
2025-08-04 01:07,T: 28.40 °C | H: 62.30 % | Gewicht: 35399.5 g,T: 20.50 °C | H: 76.30 % | Gewicht: 39873.0 g
2025-08-04 02:07,T: 28.00 °C | H: 61.00 % | Gewicht: 35426.3 g,T: 20.30 °C | H: 80.00 % | Gewicht: 39879.3 g
2025-08-04 03:07,T: 27.80 °C | H: 61.00 % | Gewicht: 35456.3 g,T: 20.10 °C | H: 79.10 % | Gewicht: 39879.4 g
2025-08-04 04:07,T: 27.80 °C | H: 63.10 % | Gewicht: 35508.9 g,T: 19.80 °C | H: 80.10 % | Gewicht: 39880.0 g
2025-08-04 05:07,T: 27.70 °C | H: 63.20 % | Gewicht: 35564.8 g,T: 19.90 °C | H: 78.90 % | Gewicht: 39899.4 g
2025-08-04 06:07,T: 27.60 °C | H: 62.60 % | Gewicht: 35603.5 g,T: 20.10 °C | H: 77.30 % | Gewicht: 39889.1 g
2025-08-04 07:07,T: 27.40 °C | H: 61.10 % | Gewicht: 35653.5 g,T: 20.60 °C | H: 78.00 % | Gewicht: 39900.0 g
2025-08-04 08:07,T: 27.70 °C | H: 62.20 % | Gewicht: 35715.8 g,T: 20.80 °C | H: 77.50 % | Gewicht: 39870.5 g
2025-08-04 09:07,T: 27.80 °C | H: 62.10 % | Gewicht: 35795.0 g,T: 21.20 °C | H: 80.10 % | Gewicht: 39903.7 g
2025-08-04 10:07,T: 28.20 °C | H: 60.40 % | Gewicht: 35782.3 g,T: 21.60 °C | H: 82.70 % | Gewicht: 39884.9 g
2025-08-04 11:07,T: 28.10 °C | H: 61.10 % | Gewicht: 35787.0 g,T: 22.30 °C | H: 85.20 % | Gewicht: 39872.0 g
2025-08-04 12:07,T: 28.10 °C | H: 61.90 % | Gewicht: 35826.0 g,T: 22.70 °C | H: 85.40 % | Gewicht: 39892.4 g
2025-08-04 13:07,T: 29.00 °C | H: 63.60 % | Gewicht: 35806.8 g,T: 24.40 °C | H: 81.60 % | Gewicht: 39717.5 g
2025-08-04 14:07,T: 30.30 °C | H: 65.70 % | Gewicht: 35731.6 g,T: 26.00 °C | H: 79.90 % | Gewicht: 39683.8 g
2025-08-04 15:07,T: 31.30 °C | H: 66.70 % | Gewicht: 35726.6 g,T: 28.40 °C | H: 78.10 % | Gewicht: 39700.7 g
2025-08-04 16:07,T: 31.80 °C | H: 66.10 % | Gewicht: 35683.1 g,T: 28.20 °C | H: 77.20 % | Gewicht: 39758.3 g
2025-08-04 17:07,T: 31.90 °C | H: 66.30 % | Gewicht: 35633.9 g,T: 29.40 °C | H: 73.70 % | Gewicht: 39705.5 g
2025-08-04 18:07,T: 31.60 °C | H: 66.20 % | Gewicht: 35602.2 g,T: 29.10 °C | H: 70.30 % | Gewicht: 39649.5 g
2025-08-04 19:07,T: 31.40 °C | H: 65.20 % | Gewicht: 35594.8 g,T: 30.00 °C | H: 69.70 % | Gewicht: 39671.3 g
2025-08-04 20:07,T: 31.20 °C | H: 64.30 % | Gewicht: 35552.3 g,T: 29.70 °C | H: 68.20 % | Gewicht: 39792.2 g
2025-08-04 21:07,T: 31.00 °C | H: 63.00 % | Gewicht: 35462.2 g,T: 28.60 °C | H: 68.60 % | Gewicht: 39621.2 g
2025-08-05 19:22,T: 32.10 °C | H: 62.00 % | Gewicht: 34864.7 g,T: 28.60 °C | H: 59.80 % | Gewicht: 39527.5 g
2025-08-05 20:07,T: 31.50 °C | H: 60.60 % | Gewicht: 34778.3 g,T: 29.10 °C | H: 64.90 % | Gewicht: 39504.1 g
2025-08-05 21:07,T: 31.30 °C | H: 61.50 % | Gewicht: 34712.2 g,T: 28.30 °C | H: 62.70 % | Gewicht: 39422.1 g
2025-08-05 22:07,T: 30.80 °C | H: 61.80 % | Gewicht: 34678.0 g,T: 25.70 °C | H: 66.40 % | Gewicht: 39394.8 g
2025-08-05 23:07,T: 30.00 °C | H: 60.30 % | Gewicht: 34689.9 g,T: 24.40 °C | H: 67.60 % | Gewicht: 39392.1 g
2025-08-06 00:07,T: 29.20 °C | H: 60.10 % | Gewicht: 34683.9 g,T: 23.60 °C | H: 69.00 % | Gewicht: 39372.5 g
2025-08-06 01:07,T: 28.60 °C | H: 60.10 % | Gewicht: 34665.2 g,T: 22.80 °C | H: 69.10 % | Gewicht: 39376.4 g
2025-08-06 02:07,T: 28.20 °C | H: 59.20 % | Gewicht: 34669.3 g,T: 22.30 °C | H: 74.10 % | Gewicht: 39379.8 g
2025-08-06 03:07,T: 27.70 °C | H: 59.20 % | Gewicht: 34709.7 g,T: 21.20 °C | H: 72.60 % | Gewicht: 39388.4 g
2025-08-06 04:07,T: 27.10 °C | H: 59.10 % | Gewicht: 34736.7 g,T: 20.20 °C | H: 71.00 % | Gewicht: 39397.1 g
2025-08-06 05:07,T: 26.80 °C | H: 59.10 % | Gewicht: 34758.8 g,T: 20.00 °C | H: 70.50 % | Gewicht: 39398.1 g
2025-08-06 06:07,T: 26.10 °C | H: 59.10 % | Gewicht: 34756.4 g,T: 19.00 °C | H: 76.20 % | Gewicht: 39397.7 g
2025-08-06 07:07,T: 25.80 °C | H: 59.20 % | Gewicht: 34810.7 g,T: 18.80 °C | H: 71.80 % | Gewicht: 39442.1 g
2025-08-06 08:07,T: 26.50 °C | H: 60.90 % | Gewicht: 34919.0 g,T: 20.00 °C | H: 73.70 % | Gewicht: 39453.1 g
2025-08-06 09:07,T: 27.50 °C | H: 61.80 % | Gewicht: 35120.9 g,T: 21.60 °C | H: 78.00 % | Gewicht: 39412.6 g
2025-08-06 10:07,T: 28.80 °C | H: 62.70 % | Gewicht: 35057.5 g,T: 23.70 °C | H: 77.50 % | Gewicht: 39189.7 g
2025-08-06 11:07,T: 29.60 °C | H: 62.30 % | Gewicht: 34925.0 g,T: 25.70 °C | H: 75.00 % | Gewicht: 39096.0 g
2025-08-06 12:07,T: 29.70 °C | H: 61.90 % | Gewicht: 34987.3 g,T: 25.70 °C | H: 74.50 % | Gewicht: 39127.9 g
2025-08-06 13:07,T: 30.10 °C | H: 62.20 % | Gewicht: 35066.8 g,T: 26.40 °C | H: 75.10 % | Gewicht: 39192.4 g
2025-08-06 14:07,T: 30.60 °C | H: 63.60 % | Gewicht: 34981.3 g,T: 27.30 °C | H: 66.40 % | Gewicht: 39156.2 g
2025-08-06 15:07,T: 31.10 °C | H: 63.30 % | Gewicht: 34797.3 g,T: 27.40 °C | H: 72.20 % | Gewicht: 39138.3 g
2025-08-06 16:07,T: 31.70 °C | H: 63.30 % | Gewicht: 34738.0 g,T: 29.10 °C | H: 68.00 % | Gewicht: 38901.0 g
2025-08-06 17:07,T: 31.80 °C | H: 62.10 % | Gewicht: 34659.7 g,T: 29.60 °C | H: 68.60 % | Gewicht: 38910.3 g
2025-08-06 18:07,T: 31.70 °C | H: 61.80 % | Gewicht: 34625.3 g,T: 30.50 °C | H: 65.40 % | Gewicht: 38964.7 g
2025-08-06 19:08,T: 31.70 °C | H: 61.10 % | Gewicht: 34601.6 g,T: 30.30 °C | H: 59.00 % | Gewicht: 38990.0 g
2025-08-06 20:07,T: 31.40 °C | H: 61.00 % | Gewicht: 34554.9 g,T: 30.20 °C | H: 57.60 % | Gewicht: 39019.3 g
2025-08-06 21:07,T: 31.10 °C | H: 60.20 % | Gewicht: 34520.7 g,T: 27.90 °C | H: 56.80 % | Gewicht: 38993.1 g
2025-08-06 22:07,T: 30.20 °C | H: 59.00 % | Gewicht: 34459.9 g,T: 25.30 °C | H: 63.50 % | Gewicht: 38981.6 g
2025-08-06 23:07,T: 29.20 °C | H: 57.70 % | Gewicht: 34404.7 g,T: 23.50 °C | H: 63.70 % | Gewicht: 38963.2 g
2025-08-07 00:10,T: 28.20 °C | H: 57.00 % | Gewicht: 34370.1 g,T: 22.90 °C | H: 71.80 % | Gewicht: 38985.3 g
2025-08-07 01:07,T: 27.30 °C | H: 56.50 % | Gewicht: 34370.8 g,T: 21.40 °C | H: 69.60 % | Gewicht: 38996.5 g
2025-08-07 02:07,T: 26.70 °C | H: 56.10 % | Gewicht: 34368.2 g,T: 19.90 °C | H: 68.90 % | Gewicht: 38976.4 g
2025-08-07 03:07,T: 25.90 °C | H: 56.00 % | Gewicht: 34376.3 g,T: 19.40 °C | H: 76.00 % | Gewicht: 38992.9 g
2025-08-07 04:07,T: 25.30 °C | H: 55.90 % | Gewicht: 34400.2 g,T: 18.70 °C | H: 72.90 % | Gewicht: 39034.6 g
2025-08-07 05:07,T: 24.90 °C | H: 55.10 % | Gewicht: 34439.1 g,T: 18.20 °C | H: 76.60 % | Gewicht: 39035.5 g
2025-08-07 06:07,T: 24.20 °C | H: 55.60 % | Gewicht: 34469.6 g,T: 17.50 °C | H: 72.90 % | Gewicht: 39047.6 g
2025-08-07 07:07,T: 24.30 °C | H: 55.90 % | Gewicht: 34526.4 g,T: 17.70 °C | H: 73.80 % | Gewicht: 39075.9 g
2025-08-07 08:07,T: 25.00 °C | H: 59.70 % | Gewicht: 34681.3 g,T: 19.80 °C | H: 81.20 % | Gewicht: 39122.5 g
2025-08-07 09:07,T: 26.30 °C | H: 60.50 % | Gewicht: 34985.7 g,T: 21.50 °C | H: 79.90 % | Gewicht: 39068.3 g
2025-08-07 10:08,T: 27.80 °C | H: 63.30 % | Gewicht: 34982.0 g,T: 24.40 °C | H: 82.30 % | Gewicht: 38929.3 g
2025-08-07 11:07,T: 29.60 °C | H: 64.90 % | Gewicht: 34976.0 g,T: 26.60 °C | H: 74.80 % | Gewicht: 38803.2 g
2025-08-07 12:07,T: 31.00 °C | H: 66.60 % | Gewicht: 35152.4 g,T: 28.80 °C | H: 74.20 % | Gewicht: 38772.7 g
2025-08-07 13:07,T: 32.30 °C | H: 66.60 % | Gewicht: 35313.1 g,T: 29.90 °C | H: 67.80 % | Gewicht: 38785.7 g
2025-08-07 14:07,T: 33.70 °C | H: 67.30 % | Gewicht: 35120.7 g,T: 31.20 °C | H: 64.30 % | Gewicht: 38835.9 g
2025-08-07 15:07,T: 34.50 °C | H: 66.30 % | Gewicht: 34886.0 g,T: 31.20 °C | H: 60.00 % | Gewicht: 38842.6 g
2025-08-07 16:07,T: 34.60 °C | H: 63.30 % | Gewicht: 34752.2 g,T: 31.40 °C | H: 59.80 % | Gewicht: 38824.3 g
2025-08-07 17:07,T: 34.10 °C | H: 61.70 % | Gewicht: 34631.4 g,T: 31.00 °C | H: 52.80 % | Gewicht: 38837.3 g
2025-08-07 18:07,T: 34.00 °C | H: 60.90 % | Gewicht: 34525.3 g,T: 31.30 °C | H: 51.70 % | Gewicht: 38824.5 g
2025-08-07 19:07,T: 33.60 °C | H: 60.20 % | Gewicht: 34420.8 g,T: 31.50 °C | H: 51.10 % | Gewicht: 38807.2 g
2025-08-07 20:07,T: 33.40 °C | H: 60.30 % | Gewicht: 34394.3 g,T: 33.00 °C | H: 48.90 % | Gewicht: 38797.8 g
